file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00642_0259_1636059_to_1638405,གཟུགས་ལ་སོགས་པ་རྣམས་ཀྱི་དེ་ཁོ་ན་ཉིད་དོ།  ,gzugs la sogs pa rnams kyi de kho na nyid do/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0259_1636059_to_1638405.wav,STT_AB,2,41,2.346,wav16k/STT_AB00642_0259_1636059_to_1638405.wav,གཟུགས་ལ་སོགས་པ་རྣམས་ཀྱི་དེ་ཁོ་ན་ཉིད་དོ།
STT_AB00642_0270_1703165_to_1708882,ཡོངས་སུ་ཤེས་པ་མེད་པ་ནི་དེ་ཁོ་ན་ཉིད་ཤེས་པའོ། ཞེས་བྱ་བར་མི་རིགས་པའི་ཕྱིར་ཏེ།  ,yongs su shes pa med pa ni de kho na nyid shes pa'o/_zhes bya bar mi rigs pa'i phyir te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0270_1703165_to_1708882.wav,STT_AB,2,76,5.717,wav16k/STT_AB00642_0270_1703165_to_1708882.wav,ཡོངས་སུ་ཤེས་པ་མེད་པ་ནི་དེ་ཁོ་ན་ཉིད་ཤེས་པའོ། ཞེས་བྱ་བར་མི་རིགས་པའི་ཕྱིར་ཏེ།
STT_AB00642_0242_1507363_to_1513319,དེ་ནི་མཚུངས་པ་མེད་པ་ཡང་ཡིན་ཏེ། དེ་དང་འདྲ་བ་མེད་པའི་ཕྱིར་དང་། གོང་ན་མེད་པའི་ཕྱིར་རོ།  ,de ni mtshungs pa med pa yang yin te/_de dang 'dra ba med pa'i phyir dang /_gong na med pa'i phyir ro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0242_1507363_to_1513319.wav,STT_AB,2,85,5.956,wav16k/STT_AB00642_0242_1507363_to_1513319.wav,དེ་ནི་མཚུངས་པ་མེད་པ་ཡང་ཡིན་ཏེ། དེ་དང་འདྲ་བ་མེད་པའི་ཕྱིར་དང་། གོང་ན་མེད་པའི་ཕྱིར་རོ།
STT_AB00642_0243_1514343_to_1520179,ཚིག་རྐང་དང་པོའིའགྱུར་ནི་འགྲེལ་པ་དང་བསྟུན་ན་སྔར་བཤད་པ་ལྟར་འོང་དགོས་ལ།  ,tshig rkang dang po'i'agyur ni 'grel pa dang bstun na sngar bshad pa ltar 'ong dgos la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0243_1514343_to_1520179.wav,STT_AB,2,70,5.836,wav16k/STT_AB00642_0243_1514343_to_1520179.wav,ཚིག་རྐང་དང་པོའི་འགྱུར་ནི་འགྲེལ་པ་དང་བསྟུན་ན་སྔར་བཤད་པ་ལྟར་འོང་དགོས་ལ།
STT_AB00642_0247_1546646_to_1554564,འོག་མིན་དུ་དང་པོར་འཚང་རྒྱ་བ་ན། བཅོམ་ལྡན་འདས་ཀྱིས་སྐད་ཅིག་གཅིག་ཁོ་ན་ལ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་བརྙེས་པར་སྟོན་པ་ནི།  ,'og min du dang por 'tshang rgya ba na/_bcom ldan 'das kyis skad cig gcig kho na la thams cad mkhyen pa'i ye shes brnyes par ston pa ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0247_1546646_to_1554564.wav,STT_AB,2,114,7.918,wav16k/STT_AB00642_0247_1546646_to_1554564.wav,འོག་མིན་དུ་དང་པོར་འཚང་རྒྱ་བ་ན། བཅོམ་ལྡན་འདས་ཀྱིས་སྐད་ཅིག་གཅིག་ཁོ་ན་ལ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་རྙེད་པར་སྟོན་པ་ནི།
STT_AB00642_0192_1210076_to_1218336,ས་བརྒྱད་པ་ནས་ཡོན་ཏན་དེ་རྣམས་གྲངས་ཀྱི་གནས་ཀྱིས་བགྲང་བར་མི་ནུས་པས། རྡུལ་ཕྲ་རབ་རྣམས་ཀྱི་ཡོངས་སུ་བགྲང་བར་བཤད་པ།  ,sa brgyad pa nas yon tan de rnams grangs kyi gnas kyis bgrang bar mi nus pas/_rdul phra rab rnams kyi yongs su bgrang bar bshad pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0192_1210076_to_1218336.wav,STT_AB,2,109,8.26,wav16k/STT_AB00642_0192_1210076_to_1218336.wav,ས་བརྒྱད་པ་ནས་ཡོན་ཏན་དེ་རྣམས་གྲངས་ཀྱི་གནས་ཀྱིས་བགྲང་བར་མི་ནུས་པས། རྡུལ་ཕྲ་རབ་རྣམས་ཀྱིས་ཡོངས་སུ་གྲང་བར་བཤད་པ།
STT_AB00642_0232_1439377_to_1442721,གང་ཕྱིར་ནམ་མཁའ་དྲི་མ་མེད་ལ་ཟླ་སྣང་གསལ་བར་གྱུར་པའི་ཕྱིར།  ,gang phyir nam mkha' dri ma med la zla snang gsal bar gyur pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0232_1439377_to_1442721.wav,STT_AB,2,57,3.344,wav16k/STT_AB00642_0232_1439377_to_1442721.wav,གང་ཕྱིར་ནམ་མཁའ་དྲི་མ་མེད་ལ་ཟྡ་སྣང་གསལ་བར་འགྱུར་བའི་ཕྱིར།
STT_AB00642_0280_1773759_to_1776404,ཡུལ་སྔོན་པོ་གང་གི་རྣམ་པར་ཅན་དུ་སྐྱེ་བ་ན།  ,yul sngon po gang gi rnam par can du skye ba na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0280_1773759_to_1776404.wav,STT_AB,2,42,2.645,wav16k/STT_AB00642_0280_1773759_to_1776404.wav,ཡུལ་སྔོན་པོ་གང་གི་རྣམ་པ་ཅན་དུ་སྐྱེ་བར་འགྱུར་བ་ན།
STT_AB00642_0281_1778004_to_1780169,ཡུལ་སྔོན་པོ་དེ་ཡོངས་སུ་ཤེས་སོ།  ,yul sngon po de yongs su shes so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0281_1778004_to_1780169.wav,STT_AB,2,32,2.165,wav16k/STT_AB00642_0281_1778004_to_1780169.wav,ཡུལ་སྔོན་པོ་དེ་ཡོངས་སུ་ཤེས་སོ།
STT_AB00642_0282_1782335_to_1785268,ཡུལ་ཅན་གྱི་ཤེས་པ་ཡུལ་དེ་ཁོ་ན་ཉིད་ ,yul can gyi shes pa yul de kho na nyid _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00642_0282_1782335_to_1785268.wav,STT_AB,2,34,2.933,wav16k/STT_AB00642_0282_1782335_to_1785268.wav,ཡུལ་ཅན་གྱི་ཤེས་པ་ཡུལ་དེ་ཁོ་ན་ཉིད་
